country,director,genre,language,rating,runtime,titleC
中国大陆 / 香港,陆川,"剧情,犯罪",汉语普通话 / 藏语,8.7,85分钟(中国大陆),可可西里
美国 / 德国,保罗·哈吉斯,"剧情,犯罪",英语 / 波斯语 / 西班牙语 / 汉语普通话 / 韩语,8.6,112分钟,撞车 Crash
英国 / 澳大利亚,克里斯托弗·史密斯,"剧情,悬疑,惊悚",英语,8.3,99 分钟,恐怖游轮 Triangle
美国 / 法国,安德鲁·尼科尔,"剧情,犯罪",英语 / 法语 / 德语 / 俄语 / 西班牙语 / 乌克兰语 / 阿拉伯语 / 土耳其语 / 汉语普通话,8.5,122 分钟,战争之王 Lord of War
美国,昆汀·塔伦蒂诺,"剧情,动作,西部,冒险",英语 / 法语 / 德语,8.5,163分钟(中国大陆),被解救的姜戈 Django Unchained
印度,阿米尔·汗,"剧情,家庭,儿童",印地语 / 英语,8.8,165分钟,地球上的星星 Taare Zameen Par
美国 / 澳大利亚,梅尔·吉布森,"剧情,传记,历史,战争",英语,8.6,139分钟(中国大陆),血战钢锯岭 Hacksaw Ridge
美国,达伦·阿伦诺夫斯基,剧情,英语,8.7,102分钟,梦之安魂曲 Requiem for a Dream
台湾,杨德昌,"剧情,犯罪",汉语普通话 / 闽南语 / 上海话 / 粤语,8.7,237分钟(导演剪辑版),牯岭街少年杀人事件 牯嶺街少年殺人事件
美国,"彼特·道格特,罗纳尔多·德尔·卡门","喜剧,动画,冒险",英语,8.7,95分钟,头脑特工队 Inside Out
爱尔兰 / 加拿大 / 英国 / 美国,伦尼·阿伯拉罕森,"剧情,家庭",英语,8.8,118分钟,房间 Room
日本,宫崎骏,"动画,奇幻,冒险",日语,8.5,103分钟,魔女宅急便 魔女の宅急便
美国 / 德国 / 捷克,道格·里曼,"动作,悬疑,惊悚",英语 / 法语 / 德语 / 荷兰语 / 意大利语,8.5,119分钟,谍影重重 The Bourne Identity
美国 / 德国,保罗·格林格拉斯,"动作,悬疑,惊悚",英语 / 俄语 / 德语 / 意大利语,8.5,108分钟,谍影重重2 The Bourne Supremacy
美国,阿尔弗雷德·希区柯克,"悬疑,惊悚,恐怖",英语,8.9,109分钟,惊魂记 Psycho
日本,神山征二郎,剧情,日语,9.0,107 分钟,忠犬八公物语 ハチ公物語
香港,徐克,"剧情,奇幻,古装",粤语,8.4,99分钟,青蛇
英国 / 美国,莫滕·泰杜姆,"剧情,同性,传记,战争",英语 / 德语,8.5,114分钟,模仿游戏 The Imitation Game
美国,约翰·卡尼,"喜剧,爱情,音乐",英语,8.5,104分钟,再次出发之纽约遇见你 Begin Again
日本,是枝裕和,剧情,日语,9.0,141分钟,无人知晓 誰も知らない
日本,小津安二郎,"剧情,家庭",日语,9.2,136 分钟,东京物语 東京物語
中国大陆,"严定宪,王树忱,徐景达","动画,奇幻,冒险",汉语普通话,8.9,65分钟,哪吒闹海
